domain,problem,config,rep,solved,cost,wall,search_time
tpp,p24.pddl,stock,1,0,,1800.207,
tpp,p24.pddl,policy,1,0,,959.276,
tpp,p25.pddl,stock,1,0,,1320.661,
tpp,p25.pddl,policy,1,0,,1799.891,
tpp,p26.pddl,stock,1,0,,1800.732,
tpp,p26.pddl,policy,1,0,,1631.299,
tpp,p27.pddl,stock,1,0,,1502.726,
tpp,p27.pddl,policy,1,0,,1792.465,
tpp,p28.pddl,stock,1,0,,1800.831,
tpp,p28.pddl,policy,1,0,,1800.603,
tpp,p29.pddl,stock,1,0,,1454.246,
tpp,p29.pddl,policy,1,0,,1800.477,
tpp,p30.pddl,stock,1,0,,1800.815,
tpp,p30.pddl,policy,1,0,,1722.698,
woodworking-opt08-strips,p01.pddl,stock,1,1,170,0.726,0.0160002
woodworking-opt08-strips,p01.pddl,policy,1,1,170,0.724,0.0164086
woodworking-opt08-strips,p02.pddl,stock,1,1,185,0.670,0.0333875
woodworking-opt08-strips,p02.pddl,policy,1,1,185,0.678,0.0319112
woodworking-opt08-strips,p03.pddl,stock,1,1,275,1.026,0.276651
woodworking-opt08-strips,p03.pddl,policy,1,1,275,1.176,0.200964
woodworking-opt08-strips,p04.pddl,stock,1,1,280,1.836,0.893273
woodworking-opt08-strips,p04.pddl,policy,1,1,280,1.477,0.582719
woodworking-opt08-strips,p05.pddl,stock,1,1,270,3.235,2.16511
woodworking-opt08-strips,p05.pddl,policy,1,1,270,2.949,1.82816
woodworking-opt08-strips,p06.pddl,stock,1,1,430,11.847,10.7161
woodworking-opt08-strips,p06.pddl,policy,1,1,430,8.012,7.08178
woodworking-opt08-strips,p07.pddl,stock,1,1,400,109.193,107.578
woodworking-opt08-strips,p07.pddl,policy,1,1,400,12.309,10.8844
woodworking-opt08-strips,p08.pddl,stock,1,1,430,185.645,183.785
woodworking-opt08-strips,p08.pddl,policy,1,1,430,90.567,88.9467
woodworking-opt08-strips,p09.pddl,stock,1,1,445,6.905,5.72466
woodworking-opt08-strips,p09.pddl,policy,1,1,445,7.964,6.49654
woodworking-opt08-strips,p10.pddl,stock,1,0,,1800.329,
woodworking-opt08-strips,p10.pddl,policy,1,0,,1800.232,
woodworking-opt08-strips,p11.pddl,stock,1,1,130,0.672,0.00994375
woodworking-opt08-strips,p11.pddl,policy,1,1,130,0.671,0.00978646
woodworking-opt08-strips,p12.pddl,stock,1,1,225,1.072,0.0893541
woodworking-opt08-strips,p12.pddl,policy,1,1,225,0.871,0.0646249
woodworking-opt08-strips,p13.pddl,stock,1,1,215,1.175,0.292312
woodworking-opt08-strips,p13.pddl,policy,1,1,215,1.124,0.282428
woodworking-opt08-strips,p14.pddl,stock,1,1,225,1.273,0.370312
woodworking-opt08-strips,p14.pddl,policy,1,1,225,1.124,0.286444
woodworking-opt08-strips,p15.pddl,stock,1,1,270,4.392,3.35043
woodworking-opt08-strips,p15.pddl,policy,1,1,270,2.340,1.20292
woodworking-opt08-strips,p16.pddl,stock,1,1,315,2.982,1.8686
woodworking-opt08-strips,p16.pddl,policy,1,1,315,3.032,1.85578
woodworking-opt08-strips,p17.pddl,stock,1,1,290,12.946,11.5211
woodworking-opt08-strips,p17.pddl,policy,1,1,290,10.380,8.97345
woodworking-opt08-strips,p18.pddl,stock,1,1,455,138.758,136.905
woodworking-opt08-strips,p18.pddl,policy,1,1,455,142.173,140.464
woodworking-opt08-strips,p19.pddl,stock,1,1,415,358.653,356.345
woodworking-opt08-strips,p19.pddl,policy,1,1,415,586.526,584.281
woodworking-opt08-strips,p20.pddl,stock,1,1,490,1220.131,1216.47
woodworking-opt08-strips,p20.pddl,policy,1,1,490,1012.805,1010.15
woodworking-opt08-strips,p21.pddl,stock,1,1,95,0.721,0.0108979
woodworking-opt08-strips,p21.pddl,policy,1,1,95,0.669,0.00821561
woodworking-opt08-strips,p22.pddl,stock,1,1,185,0.722,0.0440009
woodworking-opt08-strips,p22.pddl,policy,1,1,185,0.771,0.0389885
woodworking-opt08-strips,p23.pddl,stock,1,1,195,0.820,0.0835335
woodworking-opt08-strips,p23.pddl,policy,1,1,195,0.820,0.0685963
woodworking-opt08-strips,p24.pddl,stock,1,1,245,1.224,0.387531
woodworking-opt08-strips,p24.pddl,policy,1,1,245,1.126,0.295995
